gene_name	drug_name	interaction_types
OPRD1	BENZHYDROCODONE HYDROCHLORIDE	
OPRK1	BENZHYDROCODONE HYDROCHLORIDE	
OPRM1	BENZHYDROCODONE HYDROCHLORIDE	
PRL	BENZNIDAZOLE	
TAT	BENZNIDAZOLE	
SCN10A	BENZOCAINE	
SCN10A	BENZOCAINE	
CA1	BENZOLAMIDE	inhibitor
CA12	BENZOLAMIDE	inhibitor
ERBB2	BENZONATATE	
FGFR1	BENZONATATE	
KRAS	BENZONATATE	
MTOR	BENZONATATE	inhibitor
P2RX7	BENZONATATE	antagonist
PDGFRA	BENZONATATE	
PIK3CA	BENZONATATE	
PTEN	BENZONATATE	
SCN5A	BENZONATATE	
SCN5A	BENZONATATE	blocker
SCN5A	BENZONATATE	
ABCB1	BENZOQUINONE	
DDIT3	BENZOQUINONE	
MAPK1	BENZOQUINONE	
TRPA1	BENZOQUINONE	activator
ADRA1A	BENZPHETAMINE (CHEMBL1201358)	
ADRA1A	BENZPHETAMINE (CHEMBL1201358)	
ADRA2A	BENZPHETAMINE (CHEMBL1201358)	
ADRA2A	BENZPHETAMINE (CHEMBL1201358)	
NAT1	BENZPHETAMINE HYDROCHLORIDE	
SLC18A2	BENZPHETAMINE HYDROCHLORIDE	inhibitor
CXCR2	BENZPIPERYLON	agonist
ABCB4	BENZQUINAMIDE	inhibitor
CHRM1	BENZQUINAMIDE	
CHRM1	BENZQUINAMIDE	
CHRM2	BENZQUINAMIDE	
CHRM2	BENZQUINAMIDE	
CHRM3	BENZQUINAMIDE	
CHRM3	BENZQUINAMIDE	
CHRM4	BENZQUINAMIDE	
CHRM4	BENZQUINAMIDE	
CHRM5	BENZQUINAMIDE	
CHRM5	BENZQUINAMIDE	
CPT2	BENZQUINAMIDE	inhibitor
DRD2	BENZQUINAMIDE	agonist
HRH1	BENZQUINAMIDE	
HRH1	BENZQUINAMIDE	
DRD2	BENZQUINAMIDE HYDROCHLORIDE	modulator
CA2	BENZTHIAZIDE	inhibitor
SLC12A3	BENZTHIAZIDE	inhibitor
SLC12A3	BENZTHIAZIDE	
SLC12A3	BENZTHIAZIDE	
CHRM1	BENZTROPINE	
CHRM1	BENZTROPINE	antagonist
CHRM1	BENZTROPINE	
SLC6A19	BENZTROPINE	inhibitor
SLC6A3	BENZTROPINE	
SLC6A3	BENZTROPINE	
CHRM1	BENZTROPINE MESYLATE	antagonist
CHRM1	BENZTROPINE MESYLATE	antagonist
CHRM2	BENZTROPINE MESYLATE	antagonist
CHRM3	BENZTROPINE MESYLATE	antagonist
CHRM4	BENZTROPINE MESYLATE	antagonist
CHRM5	BENZTROPINE MESYLATE	antagonist
CHRNA4	BENZTROPINE MESYLATE	antagonist
TRPA1	BENZYL BROMIDE	activator
SLC1A5	BENZYLCYSTEINE	inhibitor
FCER1A	BENZYLPENICILLOYL POLYLYSINE	
FCER1A	BENZYLPENICILLOYL POLYLYSINE	
FCER1G	BENZYLPENICILLOYL POLYLYSINE	binder
FCER1G	BENZYLPENICILLOYL POLYLYSINE	
FCER1G	BENZYLPENICILLOYL POLYLYSINE	
HRH1	BEPOTASTINE	
HRH1	BEPOTASTINE	
HRH1	BEPOTASTINE	antagonist
HRH1	BEPOTASTINE BESYLATE	antagonist
HRH1	BEPOTASTINE BESYLATE	antagonist
ADCYAP1R1	BEPRIDIL	agonist
ATP1A1	BEPRIDIL	
ATP1A1	BEPRIDIL	
CACNA1A	BEPRIDIL	
CACNA1A	BEPRIDIL	
CALM1	BEPRIDIL	
CBX4	BEPRIDIL	activator
KCNQ1	BEPRIDIL	
KCNQ1	BEPRIDIL	
KCNQ4	BEPRIDIL	channel blocker
MYLK	BEPRIDIL	activator
MYLK2	BEPRIDIL	activator
PDE1A	BEPRIDIL	activator
PDE1B	BEPRIDIL	activator
PDE1C	BEPRIDIL	activator
SCN5A	BEPRIDIL	
SCN5A	BEPRIDIL	
TNNC1	BEPRIDIL	
TNNC1	BEPRIDIL	
VIPR1	BEPRIDIL	agonist
VIPR2	BEPRIDIL	agonist
CACNA1A	BEPRIDIL HYDROCHLORIDE	blocker
CACNA1B	BEPRIDIL HYDROCHLORIDE	blocker
CACNA1C	BEPRIDIL HYDROCHLORIDE	blocker
CACNA1D	BEPRIDIL HYDROCHLORIDE	blocker
CACNA1E	BEPRIDIL HYDROCHLORIDE	blocker
CACNA1F	BEPRIDIL HYDROCHLORIDE	blocker
CACNA1G	BEPRIDIL HYDROCHLORIDE	blocker
CACNA1H	BEPRIDIL HYDROCHLORIDE	blocker
CACNA1I	BEPRIDIL HYDROCHLORIDE	blocker
CACNA1S	BEPRIDIL HYDROCHLORIDE	blocker
CACNA2D1	BEPRIDIL HYDROCHLORIDE	blocker
CACNA2D2	BEPRIDIL HYDROCHLORIDE	blocker
CACNA2D3	BEPRIDIL HYDROCHLORIDE	blocker
CACNA2D4	BEPRIDIL HYDROCHLORIDE	blocker
CACNB1	BEPRIDIL HYDROCHLORIDE	blocker
CACNB2	BEPRIDIL HYDROCHLORIDE	blocker
CACNB3	BEPRIDIL HYDROCHLORIDE	blocker
CACNB4	BEPRIDIL HYDROCHLORIDE	blocker
CACNG1	BEPRIDIL HYDROCHLORIDE	blocker
CACNG2	BEPRIDIL HYDROCHLORIDE	blocker
CACNG3	BEPRIDIL HYDROCHLORIDE	blocker
CACNG4	BEPRIDIL HYDROCHLORIDE	blocker
CACNG5	BEPRIDIL HYDROCHLORIDE	blocker
CACNG6	BEPRIDIL HYDROCHLORIDE	blocker
CACNG7	BEPRIDIL HYDROCHLORIDE	blocker
PTGER3	BERAPROST	agonist
PTGER4	BERAPROST	agonist
PTGIR	BERAPROST	
CCL11	BERTILIMUMAB	inhibitor
CCR3	BERTILIMUMAB	antagonist
TOP2A	BERUBICIN HYDROCHLORIDE	
TOP2A	BERUBICIN HYDROCHLORIDE	inhibitor
TOP2B	BERUBICIN HYDROCHLORIDE	
TOP2B	BERUBICIN HYDROCHLORIDE	inhibitor
GRIN2B	BESONPRODIL	antagonist
HRH1	BETAHISTINE	
HRH3	BETAHISTINE	
BHMT	BETAINE HYDROCHLORIDE	
BHMT2	BETAINE HYDROCHLORIDE	
ANXA5	BETA-LAPACHONE	
BAX	BETA-LAPACHONE	
CDK2	BETA-LAPACHONE	
TNF	BETA-LAPACHONE	
ACHE	BETAMETHASONE	
ANXA1	BETAMETHASONE	
HMOX2	BETAMETHASONE	
IGF2	BETAMETHASONE	
NR3C1	BETAMETHASONE	agonist
NR3C1	BETAMETHASONE	agonist
NR3C1	BETAMETHASONE	
NR3C1	BETAMETHASONE	
NR3C1	BETAMETHASONE	agonist
PRL	BETAMETHASONE	
PTGER4	BETAMETHASONE	
NR3C1	BETAMETHASONE ACETATE	agonist
NR3C1	BETAMETHASONE BENZOATE	agonist
NR3C1	BETAMETHASONE DIPROPIONATE	agonist
NR3C1	BETAMETHASONE SODIUM PHOSPHATE	agonist
NR3C1	BETAMETHASONE VALERATE	agonist
ADRB1	BETAXOLOL	
ADRB1	BETAXOLOL	
ADRB1	BETAXOLOL	antagonist
ADRB2	BETAXOLOL	antagonist
DLX3	BETAXOLOL	agonist
NPR1	BETAXOLOL	
NPR3	BETAXOLOL	agonist
ADRB1	BETAXOLOL HYDROCHLORIDE	antagonist
HRH2	BETAZOLE	antagonist
HRH2	BETAZOLE	
HRH2	BETAZOLE	
HRH2	BETAZOLE HYDROCHLORIDE	agonist
CHRM1	BETHANECHOL	
CHRM1	BETHANECHOL	
CHRM1	BETHANECHOL	agonist
CHRM2	BETHANECHOL	agonist
CHRM3	BETHANECHOL	agonist
CHRM4	BETHANECHOL	agonist
CHRM2	BETHANECHOL CHLORIDE	agonist
CHRM3	BETHANECHOL CHLORIDE	agonist
GCG	BETHANECHOL CHLORIDE	
ADRA1A	BETHANIDINE	
ADRA1A	BETHANIDINE	
ADRA1B	BETHANIDINE	
ADRA1B	BETHANIDINE	
ADRA1D	BETHANIDINE	
ADRA1D	BETHANIDINE	
ADRA2A	BETHANIDINE	
ADRA2A	BETHANIDINE	
ADRA2B	BETHANIDINE	
ADRA2B	BETHANIDINE	
ADRA2C	BETHANIDINE	
ADRA2C	BETHANIDINE	
SLC6A2	BETHANIDINE	
SLC6A2	BETHANIDINE	
NAT1	BETHANIDINE SULFATE	
RPS6KB1	BETHANIDINE SULFATE	inhibitor
F10	BETRIXABAN	inhibitor
F10	BETRIXABAN	
F10	BETRIXABAN	inhibitor
ANPEP	BETULINIC ACID	
GPBAR1	BETULINIC ACID	agonist
ANGPT2	BEVACIZUMAB	
BRAF	BEVACIZUMAB	
CTGF	BEVACIZUMAB	
EGFR	BEVACIZUMAB	
ERBB2	BEVACIZUMAB	
F2R	BEVACIZUMAB	
FYN	BEVACIZUMAB	
HRAS	BEVACIZUMAB	
IDH1	BEVACIZUMAB	
KIT	BEVACIZUMAB	
KRAS	BEVACIZUMAB	
KRAS	BEVACIZUMAB	
MET	BEVACIZUMAB	
MMP2	BEVACIZUMAB	
MMP9	BEVACIZUMAB	
MYOD1	BEVACIZUMAB	
NF1	BEVACIZUMAB	
NF2	BEVACIZUMAB	
NOS2	BEVACIZUMAB	
NRG1	BEVACIZUMAB	
PIK3CA	BEVACIZUMAB	
PIK3CG	BEVACIZUMAB	
PRL	BEVACIZUMAB	
PTGES	BEVACIZUMAB	
TERT	BEVACIZUMAB	
TGM2	BEVACIZUMAB	
THBS2	BEVACIZUMAB	
TP53	BEVACIZUMAB	
TP53	BEVACIZUMAB	
TP53	BEVACIZUMAB	
TP73	BEVACIZUMAB	
VEGFA	BEVACIZUMAB	
VEGFA	BEVACIZUMAB	antibody
VEGFA	BEVACIZUMAB	
VEGFA	BEVACIZUMAB	antibody
VEGFA	BEVACIZUMAB	inhibitor
VEGFA	BEVACIZUMAB	
VEGFA	BEVACIZUMAB	antibody
VEGFB	BEVACIZUMAB	
VEGFC	BEVACIZUMAB	
VHL	BEVACIZUMAB	
VHL	BEVACIZUMAB	
VHL	BEVACIZUMAB	
VEGFA	BEVACIZUMAB 111IN	
ADRB1	BEVANTOLOL	
ADRB1	BEVANTOLOL	
VEGFA	BEVASIRANIB	
VEGFA	BEVASIRANIB SODIUM	inhibitor
OPRM1	BEVENOPRAN	antagonist
SLC5A2	BEXAGLIFLOZIN	inhibitor
MAPK8	BEXAROTENE	
PPARG	BEXAROTENE	antagonist
RXRA	BEXAROTENE	
RXRA	BEXAROTENE	
RXRA	BEXAROTENE	agonist
RXRA	BEXAROTENE	activator
RXRA	BEXAROTENE	agonist
RXRB	BEXAROTENE	agonist
RXRB	BEXAROTENE	
RXRB	BEXAROTENE	activator
RXRB	BEXAROTENE	agonist
RXRB	BEXAROTENE	
RXRG	BEXAROTENE	agonist
RXRG	BEXAROTENE	
RXRG	BEXAROTENE	activator
RXRG	BEXAROTENE	
PPARA	BEZAFIBRATE	
PPARA	BEZAFIBRATE	
PPARA	BEZAFIBRATE	agonist
PPARA	BEZAFIBRATE	agonist
ARAF	BGB-283	inhibitor
BRAF	BGB-283	inhibitor
BRAF	BGB-283	inhibitor
BRAF	BGB-283	
EGFR	BGB-283	
EGFR	BGB-283	inhibitor
ERBB2	BGB-283	
KRAS	BGB-283	
NRAS	BGB-283	
MTOR	BGT-226 (CHEMBL3545096)	inhibitor
PIK3CA	BGT-226 (CHEMBL3545096)	inhibitor
PIK3CB	BGT-226 (CHEMBL3545096)	inhibitor
PIK3CD	BGT-226 (CHEMBL3545096)	inhibitor
PIK3CG	BGT-226 (CHEMBL3545096)	inhibitor
PIK3R1	BGT-226 (CHEMBL3545096)	inhibitor
PIK3R2	BGT-226 (CHEMBL3545096)	inhibitor
PIK3R3	BGT-226 (CHEMBL3545096)	inhibitor
PIK3R5	BGT-226 (CHEMBL3545096)	inhibitor
DKK1	BHQ-880	inhibitor
BDKRB1	BI113823	antagonist
BRAF	BI-2536	
BRD4	BI-2536	inhibitor
CDH1	BI-2536	
KRAS	BI-2536	
PLK1	BI-2536	inhibitor
PLK1	BI-2536	inhibitor
PLK1	BI-2536	inhibitor
PLK1	BI-2536	inhibitor
PLK1	BI-2536	inhibitor
PLK2	BI-2536	inhibitor
PLK3	BI-2536	inhibitor
ICAM1	BI-505	
ICAM1	BI-505	antagonist
AURKB	BI-811283	inhibitor
PTK2	BI-853520	inhibitor
AR	BICALUTAMIDE	
AR	BICALUTAMIDE	
AR	BICALUTAMIDE	antagonist
AR	BICALUTAMIDE	antagonist
AR	BICALUTAMIDE	antagonist
AR	BICALUTAMIDE	
AR	BICALUTAMIDE	
BAX	BICALUTAMIDE	
CDH1	BICALUTAMIDE	
CFLAR	BICALUTAMIDE	
CYP2B6	BICALUTAMIDE	
FST	BICALUTAMIDE	
KLK3	BICALUTAMIDE	
KMT2D	BICALUTAMIDE	
VDR	BICALUTAMIDE	
CCR1	BICARBONATE	antagonist
CCR2	BICARBONATE	agonist
CCR3	BICARBONATE	agonist
CCR3	BICARBONATE	agonist
CCR5	BICARBONATE	agonist
CXCR3	BICARBONATE	antagonist
GSR	BICIFADINE	antagonist
GABRA1	BICUCULLINE	antagonist
GABRA2	BICUCULLINE	antagonist
GABRA3	BICUCULLINE	antagonist
GABRA4	BICUCULLINE	antagonist
GABRA5	BICUCULLINE	antagonist
GABRA6	BICUCULLINE	antagonist
KCNN1	BICUCULLINE	channel blocker
DRD2	BIFEPRUNOX	partial agonist
DRD2	BIFEPRUNOX	agonist
DRD2	BIFEPRUNOX	
DRD3	BIFEPRUNOX	
HTR1A	BIFEPRUNOX	agonist
HTR1A	BIFEPRUNOX	partial agonist
HTR1A	BIFEPRUNOX	
HTR2A	BIFEPRUNOX	
HTR2C	BIFEPRUNOX	
HTR7	BIFEPRUNOX	
IGF1R	BIIB-022	antibody
IGF1R	BIIB-022	antibody
APP	BIIB-037	
SNCA	BIIB054	inhibitor
CLEC4C	BIIB059	inhibitor
SOD1	BIIB067	
AKR1B1P4	BILOBALIDE	antagonist
ARVD3	BILOBALIDE	antagonist
GLRB	BILOBALIDE	antagonist
HTR3B	BILOBALIDE	channel blocker
ACVR2A	BIMAGRUMAB	antibody
ACVR2B	BIMAGRUMAB	antibody
ACVR2B	BIMAGRUMAB	antagonist
PTGER1	BIMATOPROST	
PTGER3	BIMATOPROST	
PTGFR	BIMATOPROST	
PTGFR	BIMATOPROST	agonist
PTGFR	BIMATOPROST	agonist
PTGFR	BIMATOPROST	agonist
PTGFR	BIMATOPROST	
HSF1	BIMOCLOMOL	
SELE	BIMOSIAMOSE	
SELE	BIMOSIAMOSE	inhibitor
SELE	BIMOSIAMOSE	inhibitor
SELL	BIMOSIAMOSE	inhibitor
SELL	BIMOSIAMOSE	
SELP	BIMOSIAMOSE	inhibitor
SELP	BIMOSIAMOSE	
APC	BINIMETINIB	
ATM	BINIMETINIB	
BRAF	BINIMETINIB	
BRAF	BINIMETINIB	
BRAF	BINIMETINIB	
BRAF	BINIMETINIB	
GNA11	BINIMETINIB	
GNAQ	BINIMETINIB	
HRAS	BINIMETINIB	
HRAS	BINIMETINIB	
KRAS	BINIMETINIB	
KRAS	BINIMETINIB	
KRAS	BINIMETINIB	
KRAS	BINIMETINIB	
KRAS	BINIMETINIB	
MAP2K1	BINIMETINIB	inhibitor
MAP2K1	BINIMETINIB	
MAP2K1	BINIMETINIB	inhibitor
MAP2K1	BINIMETINIB	inhibitor
MAP2K1	BINIMETINIB	allosteric modulator
MAP2K1	BINIMETINIB	
MAP2K2	BINIMETINIB	
MAP2K2	BINIMETINIB	inhibitor
MAP2K2	BINIMETINIB	allosteric modulator
MAP2K2	BINIMETINIB	inhibitor
MAP2K2	BINIMETINIB	inhibitor
MAP2K2	BINIMETINIB	
MAP2K3	BINIMETINIB	inhibitor
MAP2K4	BINIMETINIB	inhibitor
MAP2K5	BINIMETINIB	inhibitor
MAP2K6	BINIMETINIB	inhibitor
MAP2K7	BINIMETINIB	inhibitor
NF1	BINIMETINIB	
NF1	BINIMETINIB	
NRAS	BINIMETINIB	
NRAS	BINIMETINIB	
NRAS	BINIMETINIB	
NRAS	BINIMETINIB	
PTEN	BINIMETINIB	
PTEN	BINIMETINIB	
ADORA1	BINODENOSON	agonist
ADORA2A	BINODENOSON	agonist
ADORA2A	BINODENOSON	agonist
ADORA2B	BINODENOSON	agonist
ADORA2B	BINODENOSON	
ADORA3	BINODENOSON	agonist
ABCB1	BIOCHANIN	
BGLAP	BIOCHANIN	
CYP1A1	BIOCHANIN	
ESRRA	BIOCHANIN	agonist
ESRRB	BIOCHANIN	agonist
CHRM1	BIPERIDEN (CHEMBL1101)	
CHRM1	BIPERIDEN (CHEMBL1101)	
CHRM1	BIPERIDEN (CHEMBL1101)	antagonist
CHRM1	BIPERIDEN (CHEMBL1101)	antagonist
CHRM2	BIPERIDEN (CHEMBL1101)	antagonist
CHRM3	BIPERIDEN (CHEMBL1101)	antagonist
CHRM4	BIPERIDEN (CHEMBL1101)	antagonist
CHRM5	BIPERIDEN (CHEMBL1101)	antagonist
CHRNA2	BIPERIDEN (CHEMBL1101)	
CHRNA2	BIPERIDEN (CHEMBL1101)	
CHRM1	BIPERIDEN HYDROCHLORIDE	antagonist
CHRM1	BIPERIDEN LACTATE	antagonist
ABCC1	BIRICODAR	modulator
BIRC2	BIRINAPANT	antagonist
BIRC2	BIRINAPANT	antagonist
BIRC2	BIRINAPANT	inhibitor
BIRC2	BIRINAPANT	
BIRC3	BIRINAPANT	antagonist
BIRC3	BIRINAPANT	inhibitor
XIAP	BIRINAPANT	antagonist
XIAP	BIRINAPANT	antagonist
ABCB1	BISANTRENE (CHEMBL139554)	
ALB	BISMUTH SUBSALICYLATE	binder
PTGS1	BISMUTH SUBSALICYLATE	inhibitor
PTGS2	BISMUTH SUBSALICYLATE	inhibitor
ADRB1	BISOPROLOL	antagonist
ADRB1	BISOPROLOL	
ADRB1	BISOPROLOL	
ADRB1	BISOPROLOL FUMARATE	antagonist
AR	BISPHENOL A	antagonist
ADRB2	BITOLTEROL MESYLATE	agonist
SLC6A5	BITOPERTIN	inhibitor
SLC6A9	BITOPERTIN	inhibitor
SLC6A9	BITOPERTIN	inhibitor
F2	BIVALIRUDIN	inhibitor
F2	BIVALIRUDIN	
F2	BIVALIRUDIN	inhibitor
F2	BIVALIRUDIN	
F2	BIVALIRUDIN	inhibitor
MYC	BIZELESIN	
CXCR4	BKT140	antagonist
CXCR4	BKT140	antagonist
CXCR4	BKT140	
ADK	BLEOMYCIN (CHEMBL3039590)	
AFP	BLEOMYCIN (CHEMBL3039590)	
BRCA1	BLEOMYCIN (CHEMBL3039590)	
CCL17	BLEOMYCIN (CHEMBL3039590)	
CTLA4	BLEOMYCIN (CHEMBL3039590)	
F2R	BLEOMYCIN (CHEMBL3039590)	
GJA1	BLEOMYCIN (CHEMBL3039590)	
IFNG	BLEOMYCIN (CHEMBL3039590)	
LIG1	BLEOMYCIN (CHEMBL3039590)	
LIG1	BLEOMYCIN (CHEMBL3039590)	
MAPK8	BLEOMYCIN (CHEMBL3039590)	
NFE2L2	BLEOMYCIN (CHEMBL3039590)	
SMAD2	BLEOMYCIN (CHEMBL3039590)	
WRN	BLEOMYCIN (CHEMBL3039590)	
ABL1	BLINATUMOMAB	
BCR	BLINATUMOMAB	
CD19	BLINATUMOMAB	
CD19	BLINATUMOMAB	antibody
CD19	BLINATUMOMAB	
CD247	BLINATUMOMAB	
CD3D	BLINATUMOMAB	
CD3D	BLINATUMOMAB	
CD3E	BLINATUMOMAB	
CD3E	BLINATUMOMAB	antibody
CD3E	BLINATUMOMAB	
CD3G	BLINATUMOMAB	
CD3G	BLINATUMOMAB	
TNFSF13B	BLISIBIMOD	
TNFSF13B	BLISIBIMOD	inhibitor
DRD2	BLONANSERIN	antagonist
DRD2	BLONANSERIN	antagonist
HTR2A	BLONANSERIN	antagonist
HTR2A	BLONANSERIN	antagonist
SOST	BLOSOZUMAB	inhibitor
FNTB	BMS-214662	inhibitor
KCNMA1	BMS-223131	activator
CHUK	BMS-345541	allosteric modulator
IKBKB	BMS-345541	allosteric modulator
CDK2	BMS-387032	inhibitor
CDK2	BMS-387032	inhibitor
CDK2	BMS-387032	inhibitor
CDK2	BMS-387032	inhibitor
CDK2	BMS-387032	
CDK7	BMS-387032	inhibitor
CDK7	BMS-387032	inhibitor
CDK7	BMS-387032	inhibitor
CDK7	BMS-387032	
CDK9	BMS-387032	inhibitor
CDK9	BMS-387032	inhibitor
CDK9	BMS-387032	
CDK9	BMS-387032	inhibitor
MAPK11	BMS-582949	
MAPK12	BMS-582949	
MAPK13	BMS-582949	
MAPK14	BMS-582949	inhibitor
MAPK14	BMS-582949	inhibitor
MAPK14	BMS-582949	
EGFR	BMS-690514	
EGFR	BMS-690514	inhibitor
EGFR	BMS-690514	inhibitor
EGFR	BMS-690514	inhibitor
EGFR	BMS-690514	inhibitor
ERBB2	BMS-690514	inhibitor
ERBB2	BMS-690514	inhibitor
ERBB2	BMS-690514	inhibitor
ERBB2	BMS-690514	inhibitor
ERBB2	BMS-690514	
ERBB4	BMS-690514	inhibitor
ERBB4	BMS-690514	inhibitor
ERBB4	BMS-690514	inhibitor
FLT1	BMS-690514	inhibitor
FLT3	BMS-690514	inhibitor
FLT4	BMS-690514	inhibitor
KDR	BMS-690514	inhibitor
KDR	BMS-690514	inhibitor
KDR	BMS-690514	inhibitor
KDR	BMS-690514	inhibitor
MET	BMS-698769	inhibitor
EGFR	BMS-754807	
ETV6	BMS-754807	
IGF1R	BMS-754807	inhibitor
IGF1R	BMS-754807	inhibitor
IGF1R	BMS-754807	
IGF1R	BMS-754807	inhibitor
IGF1R	BMS-754807	inhibitor
INSR	BMS-754807	inhibitor
INSR	BMS-754807	inhibitor
KRAS	BMS-754807	
PTEN	BMS-754807	
AXL	BMS-777607	inhibitor
MERTK	BMS-777607	inhibitor
MET	BMS-777607	inhibitor
MET	BMS-777607	inhibitor
MET	BMS-777607	
MET	BMS-777607	inhibitor
MET	BMS-777607	inhibitor
MST1R	BMS-777607	inhibitor
TYRO3	BMS-777607	inhibitor
NR1H2	BMS-779788	agonist
KDR	BMS-794833	inhibitor
MET	BMS-794833	inhibitor
KDR	BMS-817378	inhibitor
MET	BMS-817378	inhibitor
SMO	BMS-833923	inhibitor
SMO	BMS-833923	antagonist
NR1H2	BMS-852927	modulator
NR1H3	BMS-852927	modulator
CDC7	BMS-863233 (CHEMBL3544943)	
CDC7	BMS-863233 (CHEMBL3544943)	inhibitor
JAK1	BMS-911543	inhibitor
JAK2	BMS-911543	inhibitor
JAK2	BMS-911543	inhibitor
JAK3	BMS-911543	inhibitor
TYK2	BMS-911543	inhibitor
HTR1A	BMY-14802	agonist
ADRA1A	BMY-7378	antagonist
ADRA1B	BMY-7378	antagonist
HTR1A	BMY-7378	agonist
OPRD1	BNTX	antagonist
OPRK1	BNTX	antagonist
OPRM1	BNTX	antagonist
CTSA	BOCEPREVIR	inhibitor
IFNL3	BOCEPREVIR	
PCSK9	BOCOCIZUMAB	inhibitor
PCSK9	BOCOCIZUMAB	inhibitor
CDK1	BOHEMINE	inhibitor
CDK2	BOHEMINE	inhibitor
GRPR	BOMBESIN	agonist
NMBR	BOMBESIN	agonist
ADRM1	BORTEZOMIB	inhibitor
BAX	BORTEZOMIB	inhibitor
BCL2	BORTEZOMIB	inhibitor
BCL2L2	BORTEZOMIB	
BDNF	BORTEZOMIB	
DDIT3	BORTEZOMIB	
E2F1	BORTEZOMIB	
FGFR3	BORTEZOMIB	
FGFR3	BORTEZOMIB	
FLT3	BORTEZOMIB	inhibitor
GATA2	BORTEZOMIB	
GATA2	BORTEZOMIB	
HSPA4	BORTEZOMIB	
HSPB2	BORTEZOMIB	
KRAS	BORTEZOMIB	
NFKB1	BORTEZOMIB	
NOTCH1	BORTEZOMIB	
PIK3CA	BORTEZOMIB	
PIK3CG	BORTEZOMIB	
PIPSL	BORTEZOMIB	inhibitor
PMAIP1	BORTEZOMIB	
PSMA1	BORTEZOMIB	inhibitor
PSMA1	BORTEZOMIB	inhibitor
PSMA2	BORTEZOMIB	inhibitor
PSMA2	BORTEZOMIB	inhibitor
PSMA3	BORTEZOMIB	inhibitor
PSMA3	BORTEZOMIB	inhibitor
PSMA4	BORTEZOMIB	inhibitor
PSMA4	BORTEZOMIB	inhibitor
PSMA5	BORTEZOMIB	inhibitor
PSMA5	BORTEZOMIB	inhibitor
PSMA6	BORTEZOMIB	inhibitor
PSMA6	BORTEZOMIB	inhibitor
PSMA7	BORTEZOMIB	inhibitor
PSMA7	BORTEZOMIB	inhibitor
PSMA8	BORTEZOMIB	inhibitor
PSMA8	BORTEZOMIB	inhibitor
PSMB1	BORTEZOMIB	
PSMB1	BORTEZOMIB	inhibitor
PSMB1	BORTEZOMIB	inhibitor
PSMB1	BORTEZOMIB	
PSMB10	BORTEZOMIB	inhibitor
PSMB10	BORTEZOMIB	inhibitor
PSMB11	BORTEZOMIB	inhibitor
PSMB2	BORTEZOMIB	inhibitor
PSMB2	BORTEZOMIB	inhibitor
PSMB2	BORTEZOMIB	
PSMB2	BORTEZOMIB	
PSMB3	BORTEZOMIB	inhibitor
PSMB3	BORTEZOMIB	inhibitor
PSMB4	BORTEZOMIB	inhibitor
PSMB4	BORTEZOMIB	inhibitor
PSMB5	BORTEZOMIB	inhibitor
PSMB5	BORTEZOMIB	
PSMB5	BORTEZOMIB	
PSMB5	BORTEZOMIB	inhibitor
PSMB5	BORTEZOMIB	inhibitor
PSMB6	BORTEZOMIB	inhibitor
PSMB6	BORTEZOMIB	inhibitor
PSMB7	BORTEZOMIB	inhibitor
PSMB7	BORTEZOMIB	inhibitor
PSMB8	BORTEZOMIB	inhibitor
PSMB8	BORTEZOMIB	inhibitor
PSMB9	BORTEZOMIB	inhibitor
PSMB9	BORTEZOMIB	inhibitor
PSMC1	BORTEZOMIB	inhibitor
PSMC1	BORTEZOMIB	inhibitor
PSMC1P1	BORTEZOMIB	inhibitor
PSMC2	BORTEZOMIB	inhibitor
PSMC2	BORTEZOMIB	inhibitor
PSMC3	BORTEZOMIB	inhibitor
PSMC3	BORTEZOMIB	inhibitor
PSMC3IP	BORTEZOMIB	inhibitor
PSMC4	BORTEZOMIB	inhibitor
PSMC4	BORTEZOMIB	inhibitor
PSMC5	BORTEZOMIB	inhibitor
PSMC5	BORTEZOMIB	inhibitor
PSMC6	BORTEZOMIB	inhibitor
PSMC6	BORTEZOMIB	inhibitor
PSMD1	BORTEZOMIB	inhibitor
PSMD1	BORTEZOMIB	
PSMD1	BORTEZOMIB	
PSMD1	BORTEZOMIB	inhibitor
PSMD10	BORTEZOMIB	inhibitor
PSMD10P1	BORTEZOMIB	inhibitor
PSMD10P2	BORTEZOMIB	inhibitor
PSMD10P3	BORTEZOMIB	inhibitor
PSMD11	BORTEZOMIB	inhibitor
PSMD11	BORTEZOMIB	inhibitor
PSMD12	BORTEZOMIB	inhibitor
PSMD12	BORTEZOMIB	inhibitor
PSMD13	BORTEZOMIB	inhibitor
PSMD13	BORTEZOMIB	inhibitor
PSMD14	BORTEZOMIB	inhibitor
PSMD14	BORTEZOMIB	inhibitor
PSMD2	BORTEZOMIB	
PSMD2	BORTEZOMIB	inhibitor
PSMD2	BORTEZOMIB	inhibitor
PSMD2	BORTEZOMIB	
PSMD3	BORTEZOMIB	inhibitor
PSMD3	BORTEZOMIB	inhibitor
PSMD4	BORTEZOMIB	inhibitor
PSMD4	BORTEZOMIB	inhibitor
PSMD4P1	BORTEZOMIB	inhibitor
PSMD5	BORTEZOMIB	inhibitor
PSMD6	BORTEZOMIB	inhibitor
PSMD6	BORTEZOMIB	inhibitor
PSMD7	BORTEZOMIB	inhibitor
PSMD7	BORTEZOMIB	inhibitor
PSMD8	BORTEZOMIB	inhibitor
PSMD8	BORTEZOMIB	inhibitor
